Δαρείου	OF DARIUS
κατὰ	by
γῆν	land
καὶ	and
κατὰ	by
θάλατταν,	sea,
καὶ	and
ἐπειρᾶτο	he-endeavoured
κατάγειν	to-bring-back
τοὺς	| (the
ἐκπεπτωκότας.	having-(been)-driven-out) (the exiles).
Καὶ	And
αὖ	again
ἦν	there-was
αὕτη	this
ἄλλη	other
πρόφασις	pretext
αὐτῷ	for-him
τοῦ	| (of-the
ἀθροίζειν	to-collect) (for assembling)
στράτευμα.	(an) army.
Δὲ	For
πέμπων	sending
πρὸς	to
βασιλέα	(the) king
ἠξίου	he-requested
ὢν	(that) being (a)
ἀδελφὸς	brother
αὐτοῦ,	of-him,
ταύτας	those
τὰς	cities
πόλεις	(ought)
δοθῆναι	to-have-been-given
οι	to-himself
μᾶλλον	rather
 ἢ	than
Τισσαφέρνην	(that) Tissaphernes
ἄρχειν	(should) rule
αὐτῶν,	them,
καὶ	and
ἡ	(his)
μήτηρ	mother
συνέπραττεν	supported
αὐτῷ	nim (in)
ταῦτα·	this;
ὥστε	therefore
βασιλεὺς	(the) king
οὐκ	did not
μὲν	indeed
ἠσθάνετο	perceive
τῆς	the
ἐπιβουλῆς	plot
πρὸς	against
ἑαυτὸν,	himself,
δὲ	but
ἐνόμιζε	he-thought
αὐτὸν	he (Cyrus)
πολεμοῦντα	fighting
Τισσαφέρνει	with-Tissaphernes
δαπανᾶν	spends
τὰ	(his means)
αμφί	upon
στρατεύματα·	| (the) (his) armies;
ὥστε	| therefore
οὐδὲν	it-was not
ἤχθετο	hated
αὐτῶν	[therefore he was not displeased with their
πολεμούντων.	of-them fighting being at war].
Καὶ	For
γὰρ	Cyrus
ὁ	remitted
Κῦρος	to (the)
ἀπέπεμπε	king
βασιλεῖ	she
τοὺς	tributes
δασμούς	arising
γιγνομένους	from
ἐκ	the
τῶν	cities,
πόλεων,	which
ὧν	Cissaphernes
Τισσαφέρνης	| happened
ἐτύγχανεν	having
ἔχων.	[had].
Δ᾽	But
ἄλλο	another
στράτευμα	army
συνελέγετο	was-collected
αὐτῷ	for-him
ἐν	in
Χεῤῥονήσῳ	Chersonesus
τῇ	(in the)
καταντιπέρας	right-over-against
᾿Αβύδου,	Abydos,
τόνδε	this (was
τὸν	the
τρόπον.	manner (thereof.)
Κλέαρχος	Clearchus
Λακεδαιμόνιος	(a) Lacedæmonian
ἦν	was (an
φυγὰς·	exile;
ὁ	Cyrus
Κῦρος	having-become-acquainted
συγγενόμενος	with-this
τούτῳ	(man,
τε	not-only
ἠγάσθη	was struck-with-admiration (for)
αὐτὸν	him,
καὶ	but also
δίδωσιν	gives
αὐτῷ	him
μυρίους	ten-thousand
δαρεικούς.	darics.
Ὁ	But
δὲ	having-taken
λαβὼν	the
τὸ	gold
χρυσίον	he-collected
συνέλεξε	(an)
στράτευμα	army
ἀπὸ	| from
τούτων	these
τῶν	things
χρημάτων,	[by means thereof),
καὶ	and
ὁρμώμενος	making-irruptions
ἐκ	from
Χεῤῥονήσου	(the) Chersonesus
ἐπολέμει	he-waged-war
τοῖς	against (the)
Θραξί,	Thracians,
τοῖς	(who)
οἰκοῦσι	dwell
ὑπὲρ	above (the)
Ἑλλήσποντον,	Hellespont,
καὶ	and
ὠφέλει	he-was-of-service
τοὺς	to-the
Ἕλληνας·	Greeks;
καὶ	and
ὥστε	so-that
αἱ	the
Ἑλλεσποντιακαὶ	Hellespontian
πόλεις	towns
ἑκοῦσαι	willingly
συνεβάλλοντο	contributed
χρήματα	(the necessary) things
αὐτῷ	to-him
εἰς	for
τὴν	the
τροφὴν	nourishment
τῶν	of-the
στρατιωτῶν.	soldiers.
Τοῦτο	| This
δ᾽	indeed
αὖ	again
αὕτω	(was) thus
τὸ	(an)
στράτευμα	army
τρεφόμενον	being-maintained
ἐλάνθανεν	secreted
αὐτῳ.	for-him [thus again an army was secretly maintained for him).
᾿Αρίστιππος	Áristippus
δὲ	the
ὁ	Thessalian
Θετταλός	being
ὧν	happened
ἐτίύγγανεν	to-him
αὐτῷ	(a)
ξένος,	guest-friend [happened to be his
καὶ	guest bound by the ties of hospitality], and
πιεζόμενος	being-pressed
ὑπὸ	by
τῶν	the
ἀντιστασιωτῶν	opposite-faction
οἰκοι	at-home
έρχεται	he-goes
πρὸς	to
τὸν	Cyrus,
Κύρον,	and
καὶ	requests
αἰτεῖ	(of)
αὐτὸν	him
εἷς	two-thousand
δισχιλίους	mercenaries,
ξένους	and
καὶ	paj
μισθόν	(for them for)
τριῶν	three
μηνῶν,	months,
ὡς	as
οὕτω	thus
ἂν	| the might
περιγενόμνος	have-been superior [so that he might be superior to]
τῶν	the
ἀντιστασιωτῶν.	opposite-faction.
Ὁ	But
δὲ	Cyrus
Κῦρος	gives
δίδωσιν	him
αὐτῷ	to
εἰς	(the number of)
τετρακισχιλίους	fourthousand
καὶ	and
μισθόν	pay
ἑξ	(for)
μηνῶν,	six months,
καὶ	and
δεῖται	he-requests
αὐτοῦ	of-him
μὴ	he-would not
πρόσθεν	first
καταλῦσαι	terminate (the strife)
πρὸς	against
τοὺς	the
ἀντιστασιώτας	opposite-faction
πρὶν	before
ἂν	(that)
συμβουλεύσηται	he-should-consult
κὐτῶ.	with-him [Cyrus].
Οὕτω	| Thus
δὲ	again
αὐ	(an)
τὸ	army
στράτευμα	being
τρεφόμενον	maintained
ἐλάνθανεν	secreted
αὐτῷ	for-him [thus again an army was secretly maintained for him]
ἐν	in
Θετταλίᾳ.	Thessaly.
Ἐκέλευσε	He-ordered
δὲ	Proxenus
Πρόξενον	the
τὸν	Bœotian
Βοιώτιον	| being
ὄντα	(a)
ξένον	guest
αὐτῷ	(of) him [who was in the ties of hospitality with him)
λαβόντα	(that) | having-taken [having collected]
πλείστους	as-many
ἄνδρας	men
ὅτι	as-possible
παραγενέσθαι,	to-come-to (him),
ὡς	as-if
βουλόμενος	he-were-wishing
στρατεύεσθαι	to-lead-an-army
εἰς	against
Πισίδας,	(the) Pisidians,
ὡς,	in-as-much-as,
τῶν	the
Πισιδῶν	Pisidians
παρεχόντων	being-pretending
πράγματα	thing
τῇ	in-the
χώρᾳ	province
ἑαυτοῦ.	of-himself [for the Pisidians infested his territories].
Ἐκέλευσε	He-ordered
δε	also
Σοφαίνετον	Sophænetus
τον	the
Στυμφάλιον	Stymphalian
καὶ	and
Σωκράτην	Socrates
τὸν	the
᾿Αχαιόν,	Achaian,
τούτους	these
καὶ	also
ὄντας	being
ξένους,	(his) guest-friends,
λαβόντας	(that) | having-taken (having collected]
πλείςτους	as-many
ἄνδρας	men
ὅτι	as-possible
ἐλθεῖν,	| to-have-come [to come to him],
ὡς	as
πολεμήσων	he-was-about-waging-war
Τισσαφέρνει	against-Tissaphernes
σὺν	with
τοῖς	the
φυγάσι	exiles
τῶν	of-the
Μιλησίων.	Milesians.
Καὶ	And
οὗτοι	they
ἐποίουν	did
οὕτως.	so.
Ἐπεὶ	AFTER
δ'	indeed
ἐδόκει	it-seemed
αὐτῷ	to-him
ἤδη	already (time)
πορεύεσθαι	|to-go
ἀνω,	up, [to march into the interior against his brother],
τὴν	he-made
μὲν	(the)
ἐποιεῖτο	(this)
πρόφασιν	pretext,
ὡς	that
βουλόμενος	(he-wishing) (he was desirous)
ἐκβαλεῖν	to-expel
Πισίδας	the) Pisidians
παντάπασιν	entirely
ἐκ	from
τῆς	the
χώρας·	territory;
καὶ	and
ἀθροίζει	he-collects
ἐνταῦδα	there,
ὡς	as-if
ἐπὶ	against
τούτους	these (Pisidians),
το	the
τε	barbarian
βαρβαρικόν	and
καὶ	the
τὸ	Grecian
Ἑλληικὸν	army,
στράτευμα,	and
καὶ	he-sends-word
παραγγέλλει	not-only
τε	to-Clearchus
τῷ	to-come
Κλεάρχῳ	(to him)
ἥκειν	| taking
λαβόντι	whatever
ὅσον	army
στράτευμα	here-was
ἦν	to-him
αὐτῷ	[bringing all the forces he had]
καὶ	but-also
τῷ	Aris-
᾿Αριστίππῳ,	ipp is,
συναλλαγέντι	(that) having-been-reconciled
πρὸς	with
τοὺς	(those oppored
οἴκοι	to him) at-home
ἀποπέμψαι	| (to-have-sent) (to send)
πρὸς	to
ἑαυτὸν	himself
τὸ	(the
στράτευμα	army
ὃ	which
εἶχε·	he-had;
καὶ	and
παραγγέλλει	he-sent-word
Ξενίᾳ	to-Xenias
τῷ	the
᾿Αρκάδι,	Arcadian,
ὃς	who
προεστήκει	had-been-commander-over
τοῦ	the
ξενικοῦ	mercenaries
ἐν	in
ταῖς	the
πόλεσι	towns
αὐτῷ,	for-him,
ἥκειν	to-come
λαβόντα	| taking (bringing)
τοὺς	(all)
ἄνδρας,	the men
πλὴν	except
ὁποσοι	as-many-as
ἦσαν	were
ἱκανοὶ	sufficient
φυλάττειν	to-guard
τὰς	the
ἀκρυπόλεις	citadels.
Ἐκάλεσε	He-called-for
δὲ	also
καὶ	(those)
τοὺς	besieging
πολιορκοῦντας	Miletus
Μίλητον	and
καὶ	he-exhorted
ἐκέλευσε	the
τοὺς	exiles
φυγάδας	to-serve-as-soldiers
στρατεύεσθαι	with
σὺν	him,
αὐτῷ,	having-promised
ὑποσχόμενος	to-them,
αὐτοῖς,	if
εἰ	he-should
καλῶς	successfully
καταπράξειεν,	accomplish
ἑφ᾽	(the objects) for
ὁ	which
ἐστρατεύετο,	he-took-the-field,
μὴ	|| not
πρόσθεν	(first)
παύσασθαι	to-cease
πρὶν	before
καταγάγοι	he-might-have-led
αὐτοὺς	them
οἴκαδε.	home [he would not cease before he led them home].
Οἱ	They
δε	cheerfully
ἡδέως	obeyed
ἐπείθοντο·	(him);
γὰρ	for
ἐπίστευον	they-believed
αὐτῷ·	him;
καὶ	and
λαβόντες	having-taken
τὰ	(their)
ὅπλα	arms
παρῆσαν	| were-present at [joined him at]
εἰς	Sardis.
Σάρδεις.	Xenias
Ξενίας	also
μὲν	came
δὴ	to
παρεγένετο	Sardis
εἰς	having-taken
Σάρδεις	(with him)
λαβών	the
τοὺς	(soldiers)
ἐκ	from
τῶν	the
πόλεων,	towns,
ὁπλίτας	(being) heavy-armed-men
εἰς	to-the-number-of
τετρακισχιλίους·	fourthousand;
Πρόξενος	Proxenus
δὲ	| was-present [came]
παρὴν	having
ἔχων	heavy-
ὁπλίτας	armed-men
μὲν	to-the-number-of
εἰς	five-hundred
πεντακοσίους	and
καὶ	a-thousand,
χιλίους,	also
δὲ	five-hundred
πεντακοσίους	light-armed;
γυμνῆτας·	Sophænetus
Σοφαίνετος	likewise,
δὲ	the
ὁ	Stymphalian
Στυμφάλιος	having
ἔχων	a-thousand
χιλίους	heavy-armed-men;
ὁπλίτας·	Socrates
Σωκράτης	Also
δὲ	the
ὁ	Achaian
᾿Αχαιὸς	having
ἔχων	about
ὡς	five-hundred
πεντακοσίους	heavy-armed-men
ὁπλίτας·	Pasion
Πασίων	the
ὁ	Megarean
Μεγαρεὺς	also
δὲ	came
παρεγένετο	having
ἔχων	three-hundred
μὲν	heavy-armed-men,
εἰς	and
τριακοσίους	three-hundred
ὁπλίτας,	peltastæ,
δὲ	both
τριακοσίους	he
πελταστὰς·	was
καὶ	and
δὲ	(also)
οὗτος	Socrates
ἦν	(among)
καὶ	(those)
ὁ	serving-in-the-army
Σωκράτης	at
τῶν	Miletus.
στρατευομένων	These
ἀμφὶ	indeed
Μίλητον.	| arrived-at
Οὗτοι	to-him
μὲν	[joined him]
ἀφίκοντο	at
αὐτῷ	Sardis.
εἰς	Tissaphernes
Σάρδεις.	-
Τισσαφέρνης	having-observed
δε	these-things,
κατανοήσας	and
ταῦτα,	having-considered
καὶ	the
ἡγησάμενος	preparation
τὴν	to-be
παρασκευὴν	greater
εἶναι	than
μείζονα	as-if
ἢ	against
ὡς	(the)
ἑπὶ	Pisidians,
Πισίδας,	he-set-out
πορεύεται	to
ὡς	(the)
βασιλέα	king
τάχιστα	as-speedily
ᾗ	as
ἐδύνατο,	he-could,
ἔχων	having
ὡς	about
πεντακοσίους	five-hundred
ἱππέας.	cavalry.
Καὶ	And (the)
βασιλεὺς	king
μὲν	therefore,
δὴ,	after
ἐπεὶ	he-heard
ἤκουσε	from
παρὰ	Tissaphernes
Τισσαφέρνους	(of)
τὸν	the
στόλον	military-expedition
Κύρου	of-Cyrus
ἀντιπαρεσκευάζετο.	began-to-prepare-himself-against-it.
Κύρος	Cyrus
δὲ,	-,
ἔχων	having
οὓς	which
εἴρηκα	I-have-said [as I said]
ὡρμᾶτο	put-himself-in-motion
ἀπὸ	from
Σάδεων·	Sardis;
καὶ	(and)
ἐξελαίνει	he-advances
διὰ	through
τῆς	Lydia
Λυδίας	| three
τρεῖς	stations
σταθμούς,	[three days' march],
εἴκοσι	(being a distance of) twenty
καὶ	and
δύο	two
παρασάγγας,	parasangs,
ἐπὶ	to
τὸν	the
ποταμόν	river
Μαίανδρον.	Mæander.
Τὸ	The
εἶρος	breadth
τούτου	of-this (river was)
δίο	two
πλέθρα·	plethra; [about 200 feet);
γέφυρα	(a, bridge
δε	was-over
ἐπῆν	(it)
ἐζευγμένη	connected-together
ἑπτά	by-seven
πλοίοις.	boats.
Διαβάς	Having-crossed-over
τοῦτοι	this river) he-advances
ἐξελαύνει	through
διὰ	Phrygia
Φρυγίας	one
ἕνα	station
σταθμὸν	[one day's march]
ὀκτὼ	(being) eight
παρασάγγας,	parasangs,
εἰς	to
Κολοσσάς.	Colossa,
οἰκουμένην	(an) inhabited
πόλιν,	town,
εὐδαίμονα	wealthy
καὶ	and
μεγάλην.	large.
Ενταῦθα	Here
ἐμεινεν	he-remained
ἑπτὰ	seven
ἡμέρας·	days;
καὶ	and
Μένων	Menon
ὁ	the
Θετταλός	Thessalian
ἥκε	came (to him)
ἔχων	having
χιλίους	(a) thousand
ὁπλίτας	heavy-armed-men
καὶ	and
τεντακοσίους	five-hundred
πελταστάς,	peltastæ [targetiers],
Δόλοπας	(they being) Dolopians
καὶ	and
Αἰνιᾶνας	Enians
καὶ	and
Ὀλυνθίους.	Olynthians.
Ἐντεῦθεν	Hence
ἐξελαύνει	he-advances
τρεῖς	three
σταθμούς	stations [three days' march)
εἴκοσιν	(making) twenty
παρασάγγας	parasangs
εἰς	to
Κελαινάς	Celænæ
οἰκουμένην	(an) inhabited
πόλιν	town
τῆς	of-the
Φρυγίας,	Phrygians,
μεγάλην	large
καὶ	and
εὐδαίμονα.	wealthy.
Ἐνταῦθα	| Here
ἦν	there-was
βασίλεια	(a) palace
Κύρω	for-Cyrus, [here Cyrus had a palace]
καὶ	and
μέγας	(a) large
παράδεισος,	park,
πλήρης	full
αγρίων	of-wild
θηρίων,	beasts,
ἃ	which
ἐκεῖνος	he
ἐθήρευεν	used-to-hunt
ἀπὸ	| from
ἵππου,	horse, [on horseback],
ὁπότε	| when
βούλοιτο	he-might-wish to-have-exercised (when he wished to exercise]
γυμνάσαι	himself
τε	and
ἑαυτόν	the
καὶ	horses.
τοὺς	The
ἵππους.	river
Ὁ	Mæander
ποταμός	flows
Μαίανδρος	through
ῥεῖὶ	(the)
διὰ	middle
μέσου	of-the
δὲ	park;
τοῦ	| and
παραδείσου·	the
δὲ	springs
αἱ	of-it
πηγαὶ	are
αὐτοῦ	from
εἰσιν	the
ἐκ	palace;
τῶν	[and its springs issue from
βασιλείων·	the palace];
δὲ	and
καὶ	also
ῥεῖ	it flows
διὰ	through
τῆς	the
πόλεως	city
Κελαινῶν.	of-Celense.
Ἔστι	There-is
δὲ	also
καὶ	(a)
ἐρυμνὰ	fortified
βασίλεια	palace
μεγάλου	of (the) great
#19
βασιλέως	king [the king of Persia]
ἐν	in
Κελαιναῖς,	Celænæ,
ἐπι	(situated) at
ταῖς	the
πηγαῖς	sources
τοῦ	of-the
ποταμοῦ	river
Μαρσίου,	Marsyas,
ὑπὸ	under
τῇ	the
ἀκροπόλει	citadel;
οὗτος	this (river)
δὲ	also
καὶ	flows
ῥεῖ	through
διὰ	the
τῆς	city,
πόλεως,	and
καὶ	empties
ἐμβάλλει	into
εἰς	the
τὸν	Mæander;
Μαίανδρον·	the
τὸ	breadth
δὲ	of-the
εὖρος	Marsyas
τοῦ	is
Μαρσίου	twenty
ἐστιν	and
εἴκοσι	five
καὶ	| of-feet
πέντε	[feet]
ποδῶν.	Here
Ἐνταῦθα	Apollo
᾿Απόλλων	is-said
λέγεται	to-have-flayed
ἐκδεῖρα	Marsyas
Μαρσύαν.	having-conquered
νικήσας	(him)
ἐρίζοντά	| contending
οἱ	(they contending)
περί	about
σοφίας,	music,
καὶ	and
κρεμάσαι	to-have-hung-up
τὸ	the
δέρμα	skin
ἐν	in
τῷ	the
ἄντρῳ	cave
ὅθεν	whence
αἱ	the
πηγαί·	springs (rise);
διὰ	from
τοῦτο	this
δὲ	indeed
ὁ	the
ποταμὸς	river
καλείται	is-called
Μαρσύας.	Marsyas.
Ἐνταῦθα	Here
Ξέρξης,	Xerxes,
ὅτε	when
ἀπεχώρει	he-departed
ἐκ	from
τῆς	Greece
Ἑλλάδος	having-been-defeated
ἡττηθείς	in-the
τῇ	battle,
μάχῃ,	is-said
λέγεται	to-have-built
οἰκοδομήσαι	also
τε	this
ταῦτά	palace
τα	and
βασίλεια	the
καὶ	citadel
τὴν	of-Celænæ.
ἀκρόπολιν	Here
Κελαινῶν.	Cyrus
Ἐνταῦθα	remained
Κῦρος	thirty
ἔμεινε	days
τριάκοντα	and
ἡμέρας	Clearchus
καὶ	the
Κλέαρχος	Lacedæmonian
ὁ	exile
Λακεδαιμόνιος	came (to him),
φυγὰς	having
ἥκε,	a-thousand
ἔχων	heavy-armed-men,
χιλίους	and
ὁπλίτας,	eight-hundred
καὶ	Thracian
ὀκτακοσίους	targetiers,
Θρᾷκας	and
πελταστὰς,	two-hundred
καὶ	Cretan
διακοσίους	archers.
Κρήτας	And
τοξότας.	also
Δὲ	at-the-same-time
καὶ	Socrates
ἅμα	the
Σωκράτης	Syracusian
ὁ	| was-present [arrived]
Συρακόσιος	having
παρὴν	three-hundred
ἔχων	heavy-armed-men,
τριακοσίους	and
οπλίτας,	Sophænetus
καὶ	the
Σοφαίνετος	Arcadian,
ὁ	having
᾿Αρκὰς,	a-thousand
ἔχων	neavy-armed-men.
χιλίους	And
ὁπλίτας.	here
Καὶ	Cyrus
ἐνταῦθα	made (an)
Κῦρος	enumeration
ἐποίησεν	and
ἀριθμὸν	(had a)
καὶ	review
ἐξέτασιν	of-the
τῶν	Greeks
Ἑλλήων	in
ἐν	the
τῷ	park,
παραδείσῳ,	and
καὶ	they-were
ἐγένοντο	all-together,
οἱ	(indeed)
σύμπαντες,	ten-thousand
μὲν	and
μύριοι	a-thousand
καὶ	heavy-armed-men,
χίλιοι	but
ὁπλῖται,	about
δὲ	two-thousand
ἀμφὶ	peltastæ [light-armed men and targetiers].
τοὺς	Hence
δισχιλίους	he-advances
πελτασταί.	two
Ἐντεῦθεν	stations [two days' march],
ἐξελαύνει	(making)
δύο	ten
σταθμούς,	parasangs
δέκα	to
παρασάγγας	Peltæ,
εἰς	(a)
Πέλτας,	peopled
οἰκουμένην	city.
πόλιν.	Here
Ἐνταῦθ᾽	he-remained
ἔμεινε	three
τρεῖς	days;
ἡμέρας·	in
ἐν	which
αἷς	(days)
Ξενίας	Xenias
ὁ	the
᾿Αρκας	Arcadian
ἔθυσε	celebrated
τὰ	the
Λύκαια	Lycean-rites,
καὶ	and
ἔθηκε	instituted (a)
ἀγῶνα·	contest; [public games];
τὰ	the
δὲ	prizes
ἄθλα	were
ἦσαν	golden
χρυσαὶ	strigils;
στλεγγίδες·	and
καὶ	also
δὲ	Cyrus
Κῦρος	viewed
ἐθεώρει	the
τὸν	public-games.
ἀγῶνα.	Hence
Ἐντεῦθεν	he-marches-forth
ἐξελαύνει	two
δύο	stations,
σταθμούς,	(making)
δώδεκα	twelve
παρασάγγας	parasangs
εἰς	to
ἀγοράν	(the)
Κεραμῶν,	market-place 'of (the) 'Ceramians,
οἰκουμένην	(an) inhabited
πόλιν,	city,
ἐσχάτην	(the) last (on the road to Mysia)
πρὸς	(and)
τὴ	next-to
Μυσίᾳ	the
χώρα.	Mysian territory.
Ἐντεῦθεν	Hence
ἐξελαύνει	he-advances
τρεῖς	three
σταθμούς,	stations, [days' march],
τριάκοντα	(making) thirty
παρασάγγας,	parasangs,
εἰς	to
πεδίον	(the)
Καΰστρου,	plain of-Caystrus,
οἰκουμένην	(an) inhabited
πόλιν.	city.
Ἐνταῦθ᾽	Here
έμεινε	ne-remained
πέντε	five
ἡμέρας·	days;
καὶ	and
μισθός	pay
ὠφείλετο	was-due
τοῖς	to-the
στρατιώταις	soldiers
πλέον	(for) more
ἢ	than
τριῶν	three
μηνῶν,	months,
καὶ	and
ἰόντες	going
πολλάκις	often
ἐπὶ	| to
τὰς	the
θύρας	gates [to his quarters]
ἀπίτουν.	they-demanded (it).
Δὲ	But
ὁ	Cyrus
Κῦρος	| saying hopes [giving hopes]
λέγων	| passed-the-time [put
ἐλπίδας	ther off],
διῆγε	and
καὶ	he-was
ἦν	manifestly
δῆλος	distressed;
